iter	Passed	Remaining
0	138	138684
1	140	70120
2	142	47219
3	143	35778
4	145	28939
5	147	24445
6	149	21160
7	150	18690
8	152	16769
9	153	15241
10	155	13986
11	157	12940
12	158	12047
13	160	11289
14	162	10652
15	163	10081
16	165	9591
17	167	9140
18	169	8733
19	170	8372
20	172	8042
21	174	7740
22	175	7466
23	178	7251
24	180	7036
25	182	6832
26	184	6637
27	185	6448
28	187	6274
29	189	6115
30	190	5962
31	192	5826
32	194	5699
33	196	5577
34	198	5459
35	199	5348
36	201	5244
37	203	5144
38	204	5048
39	206	4957
40	208	4884
41	211	4814
42	212	4737
43	214	4660
44	216	4586
45	217	4515
46	219	4446
47	220	4379
48	222	4319
49	224	4261
50	225	4205
51	227	4150
52	229	4098
53	231	4047
54	232	3997
55	234	3948
56	235	3899
57	237	3854
58	239	3821
59	241	3779
60	242	3738
61	244	3699
62	246	3659
63	247	3622
64	249	3585
65	250	3548
66	252	3513
67	254	3485
68	256	3457
69	257	3426
70	259	3395
71	261	3365
72	262	3334
73	264	3305
74	265	3276
75	267	3251
76	268	3224
77	270	3201
78	272	3176
79	274	3151
80	275	3127
81	277	3102
82	278	3078
83	280	3055
84	281	3032
85	283	3011
86	285	2994
87	287	2980
88	289	2960
89	290	2941
90	292	2921
91	294	2902
92	295	2883
93	297	2864
94	298	2846
95	300	2827
96	302	2814
97	304	2800
98	305	2783
99	307	2766
100	308	2749
101	310	2732
102	311	2716
103	313	2701
104	315	2685
105	316	2672
106	318	2658
107	320	2644
108	321	2629
109	323	2615
110	324	2600
111	326	2587
112	327	2573
113	329	2560
114	330	2546
115	332	2535
116	334	2524
117	336	2511
118	337	2499
119	339	2487
120	340	2475
121	342	2463
122	343	2452
123	345	2440
124	346	2428
125	349	2422
126	350	2410
127	352	2401
128	354	2390
129	355	2380
130	357	2369
131	358	2358
132	360	2348
133	361	2338
134	363	2327
135	365	2321
136	367	2312
137	368	2303
138	370	2295
139	372	2285
140	373	2277
141	375	2268
142	377	2260
143	378	2251
144	380	2245
145	382	2237
146	384	2228
147	385	2220
148	387	2212
149	388	2204
150	390	2195
151	392	2187
152	393	2178
153	395	2171
154	397	2165
155	398	2158
156	400	2151
157	402	2143
158	403	2135
159	405	2127
160	406	2119
161	408	2112
162	410	2105
163	411	2099
164	413	2093
165	415	2087
166	417	2080
167	418	2074
168	420	2067
169	422	2061
170	423	2054
171	425	2047
172	427	2042
173	428	2036
174	430	2029
175	432	2024
176	433	2017
177	435	2011
178	437	2005
179	438	1998
180	440	1992
181	441	1986
182	444	1982
183	445	1976
184	447	1970
185	448	1964
186	450	1958
187	451	1951
188	453	1945
189	454	1939
190	456	1933
191	458	1927
192	459	1923
193	461	1918
194	463	1912
195	464	1907
196	466	1901
197	468	1896
198	469	1890
199	471	1884
200	472	1879
201	475	1876
202	476	1872
203	478	1868
204	480	1863
205	482	1858
206	483	1853
207	485	1848
208	486	1842
209	488	1837
210	491	1836
211	492	1831
212	494	1826
213	496	1821
214	497	1816
215	499	1811
216	500	1806
217	502	1801
218	503	1797
219	505	1793
220	507	1789
221	509	1784
222	510	1779
223	512	1774
224	513	1769
225	515	1764
226	517	1760
227	518	1756
228	520	1752
229	522	1748
230	523	1744
231	525	1739
232	527	1735
233	528	1731
234	530	1727
235	532	1722
236	533	1718
237	535	1714
238	537	1711
239	539	1707
240	540	1702
241	542	1698
242	543	1693
243	545	1689
244	546	1685
245	548	1682
246	550	1678
247	552	1674
248	554	1670
249	555	1666
250	557	1662
251	559	1659
252	560	1655
253	562	1651
254	564	1647
255	565	1644
256	567	1640
257	569	1638
258	571	1634
259	573	1631
260	574	1627
261	576	1624
262	578	1620
263	579	1616
264	581	1612
265	583	1608
266	584	1605
267	586	1602
268	588	1598
269	589	1594
270	591	1591
271	593	1587
272	594	1584
273	596	1581
274	598	1577
275	600	1575
276	602	1572
277	604	1569
278	605	1565
279	607	1562
280	609	1559
281	611	1555
282	612	1552
283	614	1548
284	616	1546
285	618	1543
286	619	1539
287	621	1536
288	623	1533
289	624	1530
290	626	1526
291	628	1523
292	629	1519
293	632	1517
294	633	1514
295	635	1511
296	637	1508
297	638	1504
298	640	1501
299	642	1498
300	643	1494
301	645	1491
302	647	1489
303	649	1486
304	650	1483
305	652	1480
306	654	1477
307	656	1475
308	658	1472
309	660	1469
310	662	1467
311	664	1464
312	666	1462
313	668	1460
314	670	1458
315	673	1457
316	674	1454
317	676	1451
318	678	1449
319	680	1447
320	682	1444
321	684	1441
322	686	1439
323	688	1436
324	689	1432
325	691	1429
326	693	1427
327	695	1424
328	696	1421
329	698	1418
330	700	1414
331	701	1411
332	703	1408
333	705	1406
334	706	1403
335	709	1401
336	710	1398
337	712	1395
338	714	1392
339	715	1389
340	717	1386
341	718	1383
342	720	1380
343	722	1377
344	724	1374
345	726	1372
346	728	1370
347	729	1367
348	731	1364
349	733	1361
350	734	1358
351	736	1355
352	737	1352
353	740	1350
354	741	1348
355	743	1345
356	745	1342
357	747	1339
358	748	1336
359	750	1334
360	752	1331
361	753	1328
362	756	1328
363	759	1326
364	760	1323
365	762	1320
366	764	1318
367	765	1315
368	767	1312
369	769	1309
370	771	1308
371	773	1305
372	775	1302
373	776	1300
374	778	1297
375	779	1294
376	781	1291
377	783	1288
378	784	1286
379	787	1284
380	788	1281
381	790	1278
382	792	1275
383	793	1273
384	795	1270
385	797	1267
386	798	1265
387	800	1262
388	802	1260
389	804	1258
390	805	1255
391	807	1252
392	808	1249
393	810	1246
394	811	1243
395	813	1240
396	815	1238
397	816	1235
398	818	1233
399	820	1230
400	822	1228
401	823	1225
402	825	1222
403	827	1220
404	828	1217
405	830	1214
406	832	1212
407	834	1210
408	836	1208
409	837	1205
410	839	1203
411	841	1201
412	843	1198
413	844	1195
414	846	1192
415	848	1190
416	850	1188
417	852	1186
418	853	1183
419	855	1181
420	857	1178
421	858	1176
422	860	1173
423	862	1171
424	863	1168
425	865	1166
426	867	1163
427	869	1161
428	870	1158
429	872	1156
430	874	1153
431	875	1151
432	877	1148
433	879	1146
434	882	1145
435	883	1143
436	885	1141
437	887	1138
438	888	1135
439	890	1133
440	892	1131
441	893	1128
442	895	1125
443	897	1123
444	899	1121
445	901	1119
446	903	1117
447	904	1114
448	906	1112
449	908	1110
450	910	1108
451	913	1106
452	914	1104
453	917	1103
454	919	1100
455	920	1098
456	922	1096
457	923	1093
458	925	1091
459	928	1089
460	930	1088
461	932	1085
462	934	1083
463	935	1081
464	937	1078
465	939	1076
466	940	1073
467	942	1071
468	944	1069
469	946	1067
470	948	1065
471	951	1063
472	953	1062
473	956	1060
474	972	1074
475	974	1072
476	976	1070
477	978	1068
478	980	1066
479	981	1063
480	983	1061
481	985	1059
482	987	1057
483	990	1055
484	992	1054
485	994	1052
486	996	1050
487	998	1047
488	1000	1045
489	1002	1043
490	1004	1041
491	1006	1039
492	1008	1037
493	1010	1035
494	1012	1032
495	1014	1030
496	1016	1028
497	1018	1026
498	1020	1024
499	1022	1022
500	1024	1020
501	1026	1018
502	1028	1016
503	1030	1014
504	1032	1012
505	1034	1010
506	1036	1008
507	1039	1006
508	1041	1004
509	1043	1002
510	1045	1000
511	1047	998
512	1049	996
513	1051	994
514	1053	992
515	1055	990
516	1057	987
517	1059	985
518	1061	983
519	1062	981
520	1064	978
521	1066	976
522	1068	974
523	1070	972
524	1072	970
525	1074	968
526	1075	965
527	1077	963
528	1079	960
529	1080	958
530	1082	956
531	1084	954
532	1087	952
533	1090	951
534	1091	949
535	1093	946
536	1095	944
537	1097	942
538	1099	940
539	1101	938
540	1103	936
541	1105	933
542	1106	931
543	1108	929
544	1110	926
545	1112	924
546	1114	922
547	1116	921
548	1118	919
549	1120	917
550	1123	915
551	1125	913
552	1127	911
553	1129	909
554	1131	907
555	1133	905
556	1135	902
557	1136	900
558	1138	898
559	1140	896
560	1142	893
561	1143	891
562	1145	889
563	1147	887
564	1149	885
565	1151	882
566	1152	880
567	1154	878
568	1156	875
569	1157	873
570	1159	871
571	1161	869
572	1163	867
573	1165	864
574	1166	862
575	1168	859
576	1169	857
577	1171	855
578	1172	852
579	1174	850
580	1175	847
581	1177	845
582	1178	843
583	1180	840
584	1181	838
585	1183	836
586	1185	833
587	1186	831
588	1188	829
589	1189	826
590	1191	824
591	1193	822
592	1195	820
593	1196	817
594	1198	815
595	1199	813
596	1201	811
597	1202	808
598	1204	806
599	1206	804
600	1208	802
601	1209	799
602	1211	797
603	1212	795
604	1214	792
605	1216	790
606	1217	788
607	1219	786
608	1220	783
609	1222	781
610	1224	779
611	1226	777
612	1227	775
613	1229	772
614	1231	770
615	1232	768
616	1234	766
617	1236	764
618	1238	762
619	1240	760
620	1242	758
621	1244	756
622	1246	754
623	1248	752
624	1249	749
625	1251	747
626	1253	745
627	1254	743
628	1256	741
629	1258	739
630	1260	736
631	1261	734
632	1263	732
633	1265	730
634	1266	728
635	1268	725
636	1270	723
637	1296	735
638	1297	733
639	1299	730
640	1300	728
641	1301	725
642	1303	723
643	1305	721
644	1306	719
645	1308	717
646	1310	714
647	1311	712
648	1313	710
649	1314	707
650	1316	705
651	1318	703
652	1320	701
653	1321	699
654	1323	697
655	1325	694
656	1326	692
657	1328	690
658	1330	688
659	1332	686
660	1334	684
661	1336	682
662	1338	680
663	1339	677
664	1341	675
665	1342	673
666	1344	671
667	1346	669
668	1347	666
669	1348	664
670	1350	662
671	1352	660
672	1354	658
673	1356	655
674	1357	653
675	1359	651
676	1360	649
677	1362	647
678	1364	645
679	1365	642
680	1367	640
681	1369	638
682	1370	636
683	1372	634
684	1374	631
685	1375	629
686	1377	627
687	1379	625
688	1380	623
689	1382	621
690	1384	619
691	1385	616
692	1387	614
693	1389	612
694	1390	610
695	1392	608
696	1394	606
697	1395	603
698	1397	601
699	1399	599
700	1401	597
701	1402	595
702	1404	593
703	1406	591
704	1407	589
705	1409	586
706	1411	584
707	1412	582
708	1414	580
709	1416	578
710	1417	576
711	1419	574
712	1421	572
713	1422	569
714	1424	567
715	1425	565
716	1427	563
717	1428	561
718	1431	559
719	1432	557
720	1434	555
721	1436	553
722	1437	550
723	1439	548
724	1440	546
725	1442	544
726	1444	542
727	1446	540
728	1447	538
729	1449	535
730	1450	533
731	1452	531
732	1454	529
733	1455	527
734	1457	525
735	1459	523
736	1461	521
737	1462	519
738	1464	517
739	1466	515
740	1467	513
741	1469	510
742	1471	508
743	1472	506
744	1474	504
745	1476	502
746	1478	500
747	1479	498
748	1481	496
749	1483	494
750	1484	492
751	1486	490
752	1487	488
753	1489	486
754	1491	483
755	1493	482
756	1495	480
757	1497	478
758	1499	476
759	1501	474
760	1502	472
761	1504	469
762	1506	467
763	1508	465
764	1509	463
765	1511	461
766	1513	459
767	1515	457
768	1517	455
769	1518	453
770	1520	451
771	1522	449
772	1524	447
773	1526	445
774	1527	443
775	1529	441
776	1531	439
777	1533	437
778	1535	435
779	1537	433
780	1539	431
781	1541	429
782	1543	427
783	1545	425
784	1547	423
785	1549	421
786	1551	419
787	1553	417
788	1555	415
789	1556	413
790	1558	411
791	1560	409
792	1562	407
793	1564	405
794	1566	403
795	1568	401
796	1570	400
797	1572	398
798	1574	396
799	1575	393
800	1577	391
801	1579	389
802	1581	387
803	1583	386
804	1585	384
805	1587	382
806	1589	380
807	1591	378
808	1593	376
809	1595	374
810	1596	372
811	1598	370
812	1600	368
813	1602	366
814	1604	364
815	1605	362
816	1607	360
817	1609	358
818	1611	356
819	1613	354
820	1615	352
821	1617	350
822	1619	348
823	1621	346
824	1623	344
825	1625	342
826	1627	340
827	1629	338
828	1632	336
829	1634	334
830	1637	333
831	1639	331
832	1641	329
833	1643	327
834	1644	325
835	1646	322
836	1648	321
837	1651	319
838	1652	317
839	1654	315
840	1656	313
841	1659	311
842	1661	309
843	1664	307
844	1666	305
845	1667	303
846	1670	301
847	1672	299
848	1674	297
849	1676	295
850	1677	293
851	1680	291
852	1682	289
853	1684	287
854	1686	285
855	1688	284
856	1690	282
857	1692	280
858	1694	278
859	1696	276
860	1698	274
861	1699	272
862	1701	270
863	1703	268
864	1705	266
865	1707	264
866	1709	262
867	1711	260
868	1714	258
869	1715	256
870	1717	254
871	1719	252
872	1721	250
873	1722	248
874	1724	246
875	1726	244
876	1728	242
877	1729	240
878	1731	238
879	1733	236
880	1734	234
881	1736	232
882	1738	230
883	1739	228
884	1741	226
885	1743	224
886	1745	222
887	1746	220
888	1748	218
889	1749	216
890	1751	214
891	1752	212
892	1754	210
893	1756	208
894	1758	206
895	1760	204
896	1761	202
897	1763	200
898	1765	198
899	1766	196
900	1768	194
901	1770	192
902	1771	190
903	1773	188
904	1775	186
905	1776	184
906	1778	182
907	1780	180
908	1782	178
909	1783	176
910	1785	174
911	1786	172
912	1789	170
913	1790	168
914	1792	166
915	1793	164
916	1795	162
917	1797	160
918	1798	158
919	1800	156
920	1802	154
921	1804	152
922	1806	150
923	1807	148
924	1809	146
925	1811	144
926	1813	142
927	1814	140
928	1816	138
929	1818	136
930	1820	134
931	1822	132
932	1824	130
933	1825	129
934	1827	127
935	1829	125
936	1831	123
